AREA,DISTANCE_F_C_C,FLOOR,MAX_FLOOR,ROOMS,WINDOWS,PRICE
83.9,2400,2,2,4,7,128360
22.8,6900,2,5,1,3,31600
59.3,2000,1,7,1,3,133100
58.8,8600,3,8,1,3,97810
35.7,8700,3,5,3,4,64810
24.4,6500,4,5,1,4,43500
62.1,1200,1,12,5,7,114460
59.1,7600,3,7,5,7,98020
32.8,9700,1,1,2,5,49000
61,2200,4,12,2,5,126150
57,5200,5,6,1,5,85360
29.8,9300,6,8,1,3,37360
44.8,9600,2,10,1,4,75960
26.6,8300,4,11,1,5,40430
87.1,8900,4,8,3,4,118490
28.2,4400,6,9,2,3,66170
61,7700,2,3,5,6,77240
54.7,2600,3,3,1,5,119480
95,8000,3,3,2,6,138850
30,2400,2,3,3,4,54860
45.9,7900,2,5,1,5,85900
45.8,1700,9,10,1,4,97070
37,9800,1,1,1,2,48580
40.8,6200,2,4,1,5,55770
72.4,4100,2,3,5,8,111290
30,3100,1,9,1,4,63420
87.2,800,3,6,2,5,237830
59.2,300,11,12,5,6,185200
38.7,2400,2,10,2,5,80250
41.2,700,7,7,1,4,74750
20.8,5200,6,12,3,4,26300
62.7,8700,5,9,2,6,99470
55.3,5000,1,4,5,9,84500
38.3,3000,7,9,2,6,78620
83,5200,2,4,6,8,131670
53.8,3500,5,10,3,7,121280
40.4,9800,2,6,1,5,55450
57.5,3900,2,3,2,6,95580
75.5,5600,2,9,2,5,95250
53.1,6600,4,12,1,4,79140
87.6,2300,7,7,1,2,210180
68.9,1000,6,7,2,6,197500
80.7,8900,2,6,3,6,106710
39.4,500,1,1,1,4,100240
32.3,4800,8,8,4,7,58130
65.9,8700,2,4,1,2,90080
47.2,3100,1,4,1,5,85680
55.6,1200,7,7,2,4,125250
81.7,8900,5,6,1,3,110290
56.6,7900,3,7,2,4,73870
21.3,7300,2,3,1,3,30920
42.1,5500,8,8,1,5,51980
67.5,9500,6,12,1,5,127800
28.4,8900,2,6,2,4,41950
63.9,6100,1,1,2,4,91090
66.4,1100,5,10,5,7,189740
64.7,5000,5,9,5,7,110260
21.6,1900,7,8,2,3,47390
39,4000,2,6,4,6,62980
46.1,3400,1,5,2,3,106540
57.4,4000,6,9,1,2,95040
69.1,1300,5,11,4,6,137060
90.3,8600,4,8,1,5,158180
34.9,800,2,8,1,5,103140
35.9,1400,1,1,3,7,77220
26.7,8600,1,5,1,2,43420
85.2,800,1,9,3,6,164860
57.6,3100,1,1,1,2,91700
90.9,4600,2,7,4,5,232200
51.6,9800,7,11,4,5,65580
46.8,2700,2,3,1,3,73120
36.8,1900,1,1,2,5,79280
95.3,6600,7,9,3,5,135440
29.4,6500,7,9,1,2,44240
71,8700,8,10,4,6,103730
40.3,2400,2,3,3,6,84790
47,7300,2,9,3,7,65010
65.6,7600,1,7,2,4,92980
21.6,2800,9,9,2,5,37220
47.9,2700,10,11,4,5,79360
31.1,9200,1,1,4,5,42790
23.3,6200,5,10,1,4,35150
33.5,2700,6,11,1,5,70010
52,7400,4,4,5,9,62010
39.5,3000,3,4,1,4,91150
41.2,3900,2,3,2,3,87240
81.3,2500,2,11,4,5,153690
55.6,8500,2,10,1,4,100040
27.4,7500,3,6,1,3,43990
38.1,4900,1,10,1,3,72070
54,5600,1,11,3,4,88790
27.5,7600,6,9,2,6,44330
75.8,8900,9,9,5,6,93390
42,6500,2,4,1,2,54700
95.9,8800,1,1,7,11,166140
31.2,2400,1,4,1,5,50510
23.1,1700,10,11,1,5,66110
58.3,3400,2,3,5,8,131220
84.5,4800,3,6,6,9,208790
21.9,8400,4,10,1,4,40730
36,5700,5,9,1,5,57110
66.5,1300,12,12,1,2,120410
52.4,5900,1,4,5,7,72150
57.8,4600,2,8,2,4,108000
76.6,6600,6,8,4,8,129160
50.5,9200,1,1,1,3,65080
30.9,7300,10,10,1,3,37480
68.3,7500,4,8,1,4,93490
23.7,9500,6,11,2,6,43990
48,7000,3,6,1,4,65480
49.8,9100,7,8,1,4,80090
49,5900,8,10,1,4,64840
77.3,6100,1,12,1,5,134610
31.7,3300,6,8,4,5,74560
80.3,3600,2,3,6,9,144610
38.6,8100,3,4,1,5,64020
59.7,4700,5,5,1,5,138670
48.5,3000,3,5,2,5,80580
39.1,1000,1,1,4,8,71680
56.9,6700,2,3,5,9,81730
50,7400,4,9,2,3,71910
33.1,6600,4,6,1,4,54930
58.9,200,9,9,1,5,139460
69.9,400,7,9,6,9,190580
60.9,4700,2,2,5,7,111920
69.9,7100,1,1,2,5,84290
31.4,6800,1,4,1,2,54310
24.5,6700,1,7,1,5,41520
52,5700,5,5,3,7,70800
69.4,5500,1,2,5,7,110300
23.9,1400,1,10,1,3,43550
59.7,3600,5,6,1,3,131360
89.9,7300,5,5,6,10,141990
31.7,5400,7,8,4,8,55770
78.9,500,2,2,3,5,211180
66.7,300,2,6,1,4,196740
91.1,4600,4,12,1,3,233670
24.9,1800,6,10,3,5,50810
26.5,4500,2,5,2,5,54270
43.1,900,4,10,2,4,105180
78.3,1800,2,6,6,10,186110
67.4,3500,4,4,2,5,108270
62,300,1,3,1,2,190050
44.8,9900,9,12,4,7,64300
61,5000,1,2,1,4,71370
46.4,9300,2,12,2,6,79690
79,700,1,1,3,6,223890
58.4,2100,7,12,1,5,96200
94.9,9000,4,4,4,6,153560
45.6,9900,2,4,1,4,73940
41.5,4600,5,5,3,7,80330
66.2,6100,3,4,5,9,113910
72.7,2900,3,10,2,3,166370
50.7,2400,1,4,1,2,112150
55.4,100,1,1,5,9,168270
68.8,6600,1,1,2,3,85630
20.1,4900,6,6,1,2,36340
51.3,7600,1,12,4,6,74930
44.6,2000,4,10,2,4,101940
69.5,800,1,1,5,7,163500
81.7,6200,3,3,3,7,124850
35.6,900,12,12,1,4,65100
67.6,4100,2,2,1,3,112490
22.6,2600,1,2,2,5,40390
79.8,6100,2,3,4,7,102980
51.9,700,4,6,5,6,146680
41.4,3100,4,11,3,7,102370
27.6,3400,1,1,2,3,55440
36.6,2800,1,9,3,4,82180
47.7,8700,2,6,4,5,64210
25,5600,11,11,1,3,39300
38.6,300,5,10,1,3,118620
27.7,9800,1,1,1,4,44370
45.1,9000,5,12,2,3,72150
89.2,3500,9,12,1,3,214730
49.3,6100,2,5,1,3,86500
96.7,5000,2,2,3,6,166220
33.7,8600,3,9,1,5,56600
39.7,5900,6,6,3,7,66450
51.1,4000,6,6,2,3,83330
59.3,4900,6,11,3,4,133000
51.7,6700,1,1,1,3,75560
100,2300,7,7,5,6,199980
41.9,2700,1,6,2,3,79220
64.4,6600,2,3,2,3,80270
38.7,400,9,10,1,3,88850
84.6,3300,6,6,1,5,159280
51.5,800,3,3,2,5,142200
44,400,1,2,4,8,125130
58.5,2300,1,7,4,7,94450
40.3,8400,4,4,4,7,67960
34.9,5700,1,3,1,3,54050
86.7,2600,6,7,2,4,157300
60.4,6900,1,4,1,3,103120
79.7,800,2,12,4,8,177700
40.7,9200,1,2,1,3,69010
21.6,7500,4,7,1,4,27060
51.8,1400,1,3,4,7,114120
20.3,7500,2,2,1,5,26760
43,3500,1,1,1,2,73560
32.4,3000,1,8,3,6,50440
68.2,2000,4,9,1,3,152770
99.9,8600,9,11,6,7,167310
50.3,7300,2,8,1,2,93990
27,8900,1,2,1,3,34600
51.6,2900,4,7,3,6,100630
97,4800,3,3,2,3,167520
25.8,4900,6,6,1,5,50150
24.2,3200,5,10,1,2,47630
67.5,7000,4,4,4,8,109160
59.1,3900,4,6,4,5,138220
43.5,1000,4,4,1,2,89100
39.5,1100,2,6,1,2,109010
48.7,100,5,10,3,4,123480
95.5,6500,1,1,4,5,168290
25.4,2400,5,10,2,5,57930
80.9,5500,9,11,5,7,125730
43,4800,5,6,1,3,95470
63.5,6600,2,5,3,7,90970
33.4,9500,4,5,2,5,40670
90.2,9600,2,7,5,9,156640
46.9,7200,2,5,5,9,87630
94.3,7600,4,4,2,6,116780
65.7,1200,2,5,3,5,134690
33.6,4700,1,2,4,7,62920
68.2,6400,6,7,3,4,97220
98.9,1400,1,3,2,3,178640
41.8,2200,9,10,4,8,72190
54.5,5000,4,6,3,7,69530
31.8,1800,7,10,2,3,85730
67.9,3500,1,1,4,5,127780
57.5,4800,6,9,1,5,128860
77,7900,11,12,4,7,94310
48.7,7100,6,6,1,4,77620
58.1,3100,5,6,3,6,110590
35.3,1200,2,7,3,7,89130
67.9,4200,4,8,3,6,149070
65.4,1500,4,9,2,6,125680
64.4,3200,6,7,1,4,128030
37.8,4000,2,7,1,2,94510
41.5,5000,3,8,3,6,65200
53.9,7700,1,2,3,5,65390
72.1,7100,3,6,6,10,136710
38.8,1200,2,6,2,5,89230
53.5,1200,6,7,3,5,126150
53.6,7800,6,7,2,5,92180
40.7,9400,1,5,1,2,64830
48.6,3400,1,1,1,2,95000
56.4,1700,9,9,5,8,137150
20.2,2600,2,2,3,7,43460
95.3,3400,10,11,3,5,213910
62.6,5100,1,1,2,3,100670
73.7,2600,1,1,6,10,176370
25.5,8800,2,2,3,5,29850
26.1,6000,1,1,2,4,45170
65.5,3600,4,8,1,3,130540
46.1,8900,2,11,4,7,66210
42.3,2700,1,4,3,6,76670
75,2700,4,11,2,4,177190
54.5,3900,3,3,4,7,127720
36.4,800,3,10,1,5,106020
35.8,4400,3,4,4,5,68620
94,600,5,6,2,5,224520
36.2,400,3,5,3,5,87310
42.3,1300,4,4,1,2,109830
39.3,4700,5,11,1,4,87470
26.8,9100,2,2,2,3,37450
31.5,7400,1,1,1,4,39150
41.5,8400,4,11,1,5,64530
49.7,9100,3,9,1,4,78040
80.9,6600,4,4,6,10,101930
68.9,500,7,7,3,5,130030
34.8,1700,2,9,1,5,73750
42,5600,4,10,4,6,57770
82.6,500,10,11,2,6,155070
21.8,5000,4,10,1,5,31330
86.1,600,10,10,6,8,167300
54.8,3800,5,10,3,7,131760
57.4,3200,1,11,4,5,128060
67.6,6700,3,3,2,3,90280
90.2,8600,1,6,1,2,121930
65.8,1900,2,4,1,4,144390
34.4,8200,4,7,3,7,49930
58.6,9400,3,6,2,4,81220
82.8,2200,12,12,5,9,170420
32.8,9500,1,10,1,3,54780
42,6000,8,11,4,7,52220
69.3,8200,10,12,6,7,92360
80.9,1900,3,8,1,3,231100
65,1700,1,1,5,7,186490
87.8,1300,5,11,3,6,213770
64.6,9900,1,4,3,4,100580
61.5,5100,2,5,1,2,107200
68.9,3900,3,6,3,6,128880
32.7,1100,2,9,2,5,95950
62.2,4500,6,7,2,5,112070
48.6,9900,10,10,5,7,69060
24.7,1500,8,12,1,2,66680
32.7,8500,4,6,3,5,41590
51.6,2000,2,7,1,3,131910
41.5,9200,1,2,1,4,62150
54.3,5300,5,12,3,7,81650
70.6,7800,5,7,6,7,95910
49.8,9700,6,6,2,6,78300
39.4,2500,2,2,1,3,78610
49.9,8900,4,10,5,9,89640
54.6,400,10,11,3,6,138370
55.9,9200,10,11,2,6,84360
71.2,3900,9,9,4,6,132130
24.6,6700,3,9,1,3,35190
98.8,2700,2,2,6,9,152580
50.2,1800,1,6,2,3,142180
97.5,9900,3,3,4,6,164000
25.6,2600,12,12,3,7,60060
35,8100,3,8,1,2,57880
27.1,4700,5,7,2,3,65820
26.2,6100,3,7,3,7,48460
57.2,2900,2,10,4,7,121610
51.7,7200,3,8,4,8,90960
63.3,3300,3,4,1,2,145840
51.5,2200,1,1,1,4,91300
55.6,3300,1,1,5,9,96020
60.3,9800,8,9,5,6,76950
43.8,3800,4,6,2,3,95530
41.2,9500,1,1,2,3,53540
49.9,8700,6,12,1,3,66880
45.1,9000,6,8,4,7,73470
32.2,5900,9,12,1,4,49490
98.9,9300,9,11,6,8,174660
31.7,7100,10,11,1,2,44020
22.2,3300,5,6,1,5,39480
31.8,8700,3,6,1,5,40480
66.8,7400,9,12,5,7,93410
56,7700,1,1,4,8,73380
68.8,1000,5,6,1,2,192070
47.2,8000,4,5,3,4,80620
45.9,8800,8,8,4,7,74150
47.6,2800,4,9,5,8,79990
68.3,300,1,1,2,4,173030
37.2,7700,1,2,3,4,44790
22,7500,3,7,1,4,27580
65.9,6400,1,5,2,5,116660
38.4,4700,1,1,4,7,59270
38.5,9700,6,12,2,6,72780
56.9,7400,8,11,2,5,94700
61.1,1200,1,5,4,5,165180
84.2,8500,1,1,1,4,145190
47,2800,1,1,1,2,77530
87.3,5200,2,4,6,10,159640
20,800,1,3,1,2,49770
62.9,8300,1,11,4,5,94530
52.4,3600,1,9,1,2,105070
40.6,4200,1,5,1,5,93170
35.1,6500,5,6,2,3,45610
50.5,5000,1,1,2,6,81170
25.1,8100,5,8,1,3,31990
92,100,1,6,4,5,213620
28.1,3000,1,1,2,6,67650
30.6,9300,1,1,1,5,48330
45.8,7900,1,4,4,8,55930
48.6,1900,1,5,5,8,126270
64.7,8900,3,7,2,5,106760
26.4,1000,5,8,1,2,59110
44.1,5600,1,1,4,8,65320
73.5,9100,1,1,3,7,91940
43.8,5600,4,10,1,5,75100
96.6,4500,3,7,2,6,229600
66.6,2500,8,10,5,7,139700
22.7,2000,4,5,1,3,54810
41.2,8200,8,9,2,6,57020
74.2,8200,8,9,1,5,96020
44.7,6100,6,6,2,3,79090
36.8,3600,1,10,2,6,83790
23.6,3600,1,3,2,3,54310
85.5,700,5,12,4,8,223200
21.1,3100,10,10,1,3,42860
76.7,9700,1,1,2,3,106850
50.8,1200,6,7,3,7,94730
81,4100,3,8,1,5,178520
68.8,6600,6,6,1,2,84890
27.9,1500,2,3,2,6,75930
41.9,8800,4,5,1,2,71680
96.4,5100,4,12,6,10,168320
68.7,7700,2,3,1,5,94660
97.8,5300,5,5,5,8,144170
52.5,5000,4,6,5,9,67330
43.3,7900,5,11,1,3,59110
44.1,3000,4,4,1,3,105490
21,900,1,3,1,5,57360
58.1,6300,5,6,1,3,100390
36.1,3700,1,1,2,3,77580
45.4,4100,3,6,4,7,104970
45.4,2300,7,9,4,8,109160
38.3,7000,11,11,1,5,47390
23.7,5600,4,6,1,4,37750
69.1,3600,4,4,2,3,121200
35.3,1300,5,9,1,5,72060
30.8,7300,8,10,1,4,38880
77.6,1900,1,1,5,7,192820
41.4,4300,1,3,2,5,75260
32.1,9100,2,12,2,3,47020
68,500,1,1,1,5,154890
73.5,8000,1,1,3,7,111060
68.2,7900,2,2,2,3,91450
28.6,7900,8,8,1,5,49960
69.4,3400,10,10,1,4,165830
53.5,6900,2,11,4,6,81770
29.8,5700,11,12,3,7,48540
74.6,1900,2,6,4,8,143580
62,6400,2,8,5,7,102190
46.5,1000,7,7,1,4,125590
46.2,4900,1,6,1,3,99330
79.5,8000,4,6,3,5,120680
30.8,2300,2,6,3,4,63200
32.7,1400,4,4,1,5,58860
42.6,5600,3,10,1,5,67220
39.9,6100,1,2,1,3,70230
46.2,9000,5,6,5,8,61370
59.8,3800,4,5,1,5,105270
20.3,3100,2,5,1,3,37560
64.8,2200,6,6,5,6,137920
32.9,7600,1,12,1,4,39020
54,2900,2,2,4,8,83390
51.1,3800,7,7,1,5,110510
38.4,4600,1,4,1,3,90130
36,4300,4,11,3,4,68290
46.1,6400,4,4,1,5,77460
34.3,5800,1,2,3,4,46360
26.9,400,6,9,3,5,77860
69,2400,1,2,4,6,144500
58.7,1700,7,9,3,6,172870
41.1,3400,5,12,4,8,83980
91.3,4800,4,4,5,9,152580
62.7,1800,8,10,4,5,145270
38.7,6400,1,1,1,4,46420
43.9,5800,11,12,1,4,65660
45.2,8700,8,11,4,6,69510
27.2,2000,1,6,1,3,45580
86.5,4400,10,11,6,9,206220
61.3,7800,1,1,4,5,91360
20.5,6200,5,5,1,5,33500
34.4,7100,4,10,1,3,60390
76.5,3800,4,10,4,6,158430
30.8,6200,2,4,4,8,57900
94.9,5800,1,5,6,9,124690
67.9,3700,2,7,3,5,147260
23.6,1800,3,12,1,2,52770
38.1,1000,6,6,1,5,80510
49.5,9700,4,6,1,3,88350
59.3,4400,1,1,1,4,104650
48.7,3700,3,5,4,5,104460
42.7,800,6,7,1,2,117320
50.4,7800,6,11,2,3,90490
56.5,2500,1,1,2,4,133630
80.1,3900,3,8,2,6,148530
38.3,6200,7,11,1,4,48100
29.7,8300,3,5,2,4,44260
46.7,1100,3,5,2,4,107980
91.2,5400,5,7,6,10,140960
63.3,3600,1,9,3,5,107840
78.3,2800,8,10,3,4,186700
44.6,6600,1,6,2,6,72490
23,4800,2,9,1,2,52760
68.2,1400,5,5,1,3,164860
59.3,900,2,3,1,5,112660
20.5,5600,1,2,2,3,25600
26.7,6600,4,4,2,4,33520
30.3,9500,4,7,2,3,41590
36.1,8000,1,9,3,6,45710
46.1,800,5,9,5,6,107250
88,3400,5,7,4,5,155240
57,400,6,7,1,3,141170
75.4,4100,1,5,1,4,159330
67.4,6300,5,10,1,5,113580
58.7,3500,2,6,1,3,120890
61.4,9700,3,4,1,2,83050
61.9,6600,7,10,4,5,117250
31.1,2400,6,6,4,6,66050
63.5,500,3,3,3,6,127100
67.9,1600,1,2,5,6,187790
82.3,700,10,10,1,3,189470
53.5,2500,5,12,1,5,129400
54.3,600,2,4,3,5,130710
32.5,7500,5,7,2,4,61250
28.5,9400,1,1,1,3,46470
35.4,5000,1,3,1,4,63170
73.5,3400,8,11,6,8,173650
35.6,8700,4,5,2,5,54050
75.2,6700,1,1,6,8,101720
48,5000,4,8,4,7,63470
27.8,3900,9,9,3,4,46260
34.3,7500,1,1,2,5,61640
50.9,8300,2,10,5,9,79970
26.1,1500,1,4,3,5,60760
94,5800,3,6,4,7,136360
43,9500,6,6,1,3,51350
83.3,6200,10,11,2,4,124970
46.9,8300,4,5,1,3,61450
36.5,6900,4,5,3,5,45790
46,3100,2,2,1,5,89340
46.5,3900,4,6,4,5,96250
49.9,2800,4,7,1,2,123670
36.8,4000,5,9,2,3,81630
34,6400,4,4,3,5,61070
79.7,1800,7,7,3,6,176950
25,8500,2,4,1,3,41870
77.9,2300,4,11,2,5,165470
29.8,3400,5,6,3,7,51220
67.3,4000,11,11,4,6,103450
63.5,7500,12,12,1,3,95840
72.7,6900,2,4,6,10,135290
62.1,2200,6,8,3,7,123000
59.7,6900,2,2,1,5,92520
60.6,3000,1,1,4,8,126200
99.4,7200,1,1,2,6,169610
28.6,600,1,4,1,4,56550
70.1,1600,8,9,6,7,152670
33.7,8700,1,6,3,5,54070
35.5,9000,6,6,1,3,59770
68,9900,5,9,1,3,111620
67,9100,6,9,5,6,108200
60.3,6000,5,11,2,3,75500
40,7300,8,8,3,7,50680
66.8,100,5,6,2,5,188950
48.8,9000,5,10,1,3,68520
52.2,7400,1,2,5,7,78730
43.2,4700,2,10,2,6,104690
44.1,5200,2,4,1,5,74230
53.1,5900,1,1,5,8,88500
28.7,7900,6,7,2,4,44680
84,5000,5,5,6,7,143110
41.9,2500,11,11,1,4,82090
28.3,9800,1,1,1,4,38710
50,2700,5,8,1,3,90860
71.6,6600,1,1,1,4,91820
50.5,3400,1,1,3,7,83940
67,6400,4,6,1,2,124750
32.5,9500,8,11,1,3,48310
35,7100,3,6,3,4,61310
43.4,1900,7,12,4,7,84350
22.9,5900,4,10,3,4,33760
61.9,9700,4,6,3,6,82850
28.3,2600,3,3,1,3,48240
34.5,3600,1,2,3,5,66630
47.8,7100,1,9,1,3,85860
35.1,5800,4,5,4,6,41380
49,4400,2,6,1,3,120980
62,4600,3,3,5,6,143960
33.6,9800,3,5,4,7,60480
20.1,1500,6,10,2,6,52030
82.3,8600,4,12,1,3,140490
44.3,8800,2,3,4,7,62950
53.2,5800,1,10,1,5,84170
60.7,2800,1,8,1,5,95930
65.3,6200,1,9,5,7,101780
43.6,2300,1,2,1,2,103510
95.4,4900,1,1,5,8,151880
31.4,400,1,7,1,4,84410
85.7,3900,1,4,1,4,158340
57,5500,11,12,1,2,95820
47.2,7000,7,7,1,4,62360
27.1,6500,9,12,1,5,34440
35.8,9500,12,12,1,3,60500
39,1400,1,5,1,4,99710
31.3,3700,3,12,2,3,51200
29.3,9700,10,10,1,4,39870
37.1,2200,6,10,2,5,91880
52.7,1600,4,10,4,7,119700
95.7,9900,1,4,2,6,158130
40.9,7500,2,8,1,5,51910
89.2,200,2,4,3,4,263880
66.7,4400,5,7,3,4,153590
26.1,7200,8,8,1,5,40660
30.2,4300,7,8,1,2,55850
75.1,9900,1,4,4,7,119760
55,3300,3,10,1,5,116930
87.8,9000,1,5,2,3,119950
51,7500,3,9,5,6,67680
81.6,7400,2,5,6,7,153020
67.3,9900,4,6,5,7,100760
96.3,7700,1,4,3,7,123590
59.4,7300,4,4,1,3,93600
84.5,3200,12,12,6,10,130570
52.5,5300,4,11,2,6,67680
95.4,6100,1,2,4,8,140030
36.2,8400,11,12,3,5,45410
82.8,3700,1,9,5,7,155670
44,6700,3,11,1,2,71470
89.5,1400,2,2,5,7,184940
53.6,4500,3,4,1,2,119440
48.7,5600,3,3,1,3,68550
48,4200,6,6,3,7,84240
67.8,3600,2,2,5,9,127400
63.1,6700,1,1,1,5,91260
53.8,1400,2,4,3,7,120210
49.9,4700,1,1,5,8,85950
73,9600,5,10,2,6,115740
44.3,2500,5,8,4,8,110010
33.4,9400,6,10,1,3,58660
33,1800,3,5,1,4,65670
85.7,5900,7,11,3,6,149470
30.2,6100,2,9,1,2,43030
72.9,2900,3,5,5,7,155470
37.9,2600,2,11,1,5,67790
42.2,1400,3,10,3,5,125800
40.7,6100,2,3,4,6,59560
48.4,1700,2,4,4,8,95730
56.7,1900,2,4,3,7,157820
73.4,4400,4,6,5,9,139390
21.1,8500,9,11,1,3,32110
70.3,6200,1,1,5,9,126280
63.6,4200,3,3,1,3,142690
70.1,4600,2,5,2,3,148500
24,2200,7,9,1,5,60960
35.4,6400,1,1,1,5,43770
44.6,5600,5,6,1,4,55110
94,1100,1,1,2,6,267500
45.9,7200,1,2,2,4,58080
67.1,7800,5,12,5,6,93760
45.7,4900,9,12,1,5,82660
24.3,2700,1,4,1,2,49710
30.6,3400,7,9,2,6,71940
30.2,1000,12,12,1,3,83600
68,7600,4,8,1,2,99540
54.9,8100,1,2,1,3,68180
30.2,2800,1,1,1,3,57260
50.8,5600,7,8,4,8,89190
34.1,4700,1,4,1,5,70700
57,100,3,10,5,9,152750
57.2,8200,2,5,4,7,84980
91,4200,3,11,3,4,197190
63.2,6700,2,5,5,8,85370
98.9,3900,3,7,2,6,171650
44.1,7100,3,7,1,4,77710
88.5,7300,2,9,5,7,122410
65.4,2700,5,9,4,8,113570
28.5,400,1,1,1,4,87590
48.7,8900,3,8,5,9,82160
24.6,9100,7,12,2,3,33270
24.9,8800,5,10,3,6,41650
91.5,8900,2,2,1,2,133810
41.9,9000,1,5,1,5,62370
95.9,5600,5,10,2,3,175010
36.2,5800,4,6,2,4,68290
75.7,8300,4,7,6,9,122900
22.9,2400,7,7,1,4,40330
54.7,7400,1,5,3,6,72610
22.7,3500,3,7,1,2,36810
87.3,800,3,7,4,7,251120
24.5,3800,1,2,1,4,39820
87.8,6000,3,7,5,8,130530
24,6000,1,2,2,4,41470
59.5,6100,11,11,3,6,77540
64.3,8100,3,3,1,2,81880
87,9800,1,1,2,3,127310
49.9,600,4,4,2,5,101000
54,7200,9,10,3,4,78480
63.7,8000,2,3,4,5,74520
27.2,7500,1,1,3,6,39630
68.8,9700,2,3,2,5,98450
23.7,6900,3,7,2,5,38200
65.9,1200,4,12,2,4,130780
66,9800,5,5,4,8,105790
29.2,5000,1,7,1,4,39520
21.3,9400,1,3,1,5,30050
58.4,8100,2,2,1,3,68380
92.3,3000,5,7,6,8,226570
56.5,4800,1,7,4,7,131900
36.4,1700,1,10,1,5,100140
23.6,6900,1,2,2,6,41600
40.2,8000,1,7,1,2,56070
35.8,4200,7,11,1,5,65230
80,2100,1,2,3,7,172220
56.9,3300,2,2,4,6,127560
37,6500,2,5,1,2,63760
57.9,4500,2,5,4,5,128100
25.5,5800,3,8,1,5,37280
51.4,2400,7,7,3,4,100840
53.4,1600,4,10,4,5,157820
24.7,2600,2,3,2,3,55860
93.9,6700,9,11,3,7,121940
65.4,400,12,12,1,5,201770
90.9,6800,1,10,4,6,121160
50.4,9000,5,11,4,6,85560
81.8,3700,1,3,4,6,174030
20,6700,4,10,1,2,28820
23.3,2400,9,9,1,4,35850
20.7,5200,1,9,1,3,24660
55.2,800,1,1,2,5,112070
38.1,6700,4,6,2,3,64390
94.9,8200,1,2,6,10,119910
59.4,2100,7,7,2,6,130220
86.1,5100,8,10,6,8,119580
48.6,9500,1,8,1,3,65170
83.2,9300,1,6,1,2,106170
49.2,8000,6,9,1,5,87490
39.4,8200,4,6,3,7,71600
69,300,2,9,2,6,168130
98,2000,7,11,3,6,206210
64.1,2900,1,2,4,7,103610
67.8,5700,1,11,4,8,103970
51.1,9500,5,6,3,4,63650
81.8,4200,8,10,6,7,143290
41.8,6500,2,2,4,7,53150
41.6,6500,2,3,1,5,72140
54.1,7500,4,8,5,9,95640
76.8,300,2,12,5,9,252800
47.8,7100,1,1,5,7,59840
42.8,5400,8,11,1,2,60460
24.9,6700,6,8,1,2,43470
38.9,900,1,4,1,2,88610
48.2,5700,5,6,1,4,86020
36.5,900,6,8,1,4,82210
60.9,3500,1,9,4,8,99200
53,2000,2,9,1,4,125220
44.2,9100,1,5,1,5,69810
65.4,4500,2,3,3,7,100170
41.6,200,6,10,1,2,119660
72.7,8500,8,10,1,4,130740
37.4,3200,4,5,1,3,62570
74.2,9100,2,2,6,7,87210
68.5,700,11,11,5,8,162130
53.9,200,3,12,3,4,134410
43.2,1600,4,7,2,3,100830
35,100,4,6,1,4,109450
22.3,1000,8,9,1,5,61630
96.9,8900,3,4,3,5,158370
26.6,9100,2,6,1,4,45510
73.9,9300,3,8,5,8,105160
58.8,4800,3,11,3,4,116020
21.8,1500,2,8,3,6,54340
35.1,2200,5,5,1,4,67600
26.2,9300,9,10,1,5,40360
20.6,2800,8,10,1,3,35790
42,5600,5,7,1,4,67830
20.2,7000,1,5,1,2,27960
47.5,2500,2,2,3,4,99730
57.6,5300,5,8,1,5,81250
94.1,5500,2,2,4,5,110940
49.3,8600,4,5,1,5,74890
56,6200,4,4,4,6,93640
35.3,6300,3,8,4,8,51370
56.4,9500,9,9,4,7,78010
54.2,6700,3,3,5,9,81160
36.9,3500,5,5,2,4,81460
61.3,9700,2,2,1,2,101290
58.9,8900,4,10,3,5,81410
45.8,4800,4,8,2,3,92580
30.1,700,9,12,1,5,82410
58,8400,3,5,5,8,95760
26.8,900,3,6,1,4,75310
66.7,600,8,11,2,6,191290
41.9,6800,1,11,1,4,58410
68,3900,4,5,1,4,144370
42.4,5700,6,9,3,5,68510
48.2,600,7,7,4,8,99470
78,2500,6,8,1,4,128340
33.5,6000,4,7,1,4,59830
75.3,5100,6,8,1,4,108730
43,8200,8,8,2,5,58590
89.1,7100,7,7,6,7,130780
56.1,7800,1,1,1,5,82550
73.7,4500,8,12,4,8,187360
59.6,4500,4,7,3,7,116580
92.7,7500,1,1,7,11,165350
26.5,6600,2,5,2,5,37510
49.6,1800,6,9,5,6,104180
45.5,9300,2,6,1,4,64570
99.8,5400,1,1,3,7,155290
53.7,3900,3,11,1,2,128040
95.6,5500,3,5,7,10,181270
22.7,9600,1,8,2,6,27940
37.5,5400,3,6,3,4,52860
69.2,2000,6,7,5,7,128480
41.5,6900,7,9,1,5,78330
57.4,2700,3,9,1,3,111290
37,4200,3,4,4,8,65760
67.7,5900,6,7,1,4,119660
82.1,500,3,3,1,5,174820
49.1,5300,2,6,1,5,71970
33.6,3700,2,3,4,5,62770
29.8,4800,5,7,3,5,52400
79.5,5800,2,6,5,9,136020
29.2,2000,2,4,3,7,51540
62.8,7800,1,1,1,3,108800
59.6,800,5,10,5,8,132490
36,1600,5,5,1,5,84170
42.7,7800,1,9,4,7,69400
25.8,9000,5,12,1,4,33620
